LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000",5 STAR FABRICATIONS INC,18794 FM 1431,JONESTOWN,TX,78645,332312,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,31,04/10/2020,"JPMorgan Chase Bank, National Association",TX-25
"d $350,000-1 million","5 STAR FEEDLOT, INC",1480 Senter Avenue,BURLINGTON,CO,80807,112112,Corporation,Unanswered,Unanswered,Unanswered,,44,04/10/2020,The Bank of Burlington,CO-04
"d $350,000-1 million","5 STAR FINANCIAL, LLC",909 NWASHINGTON ST STE 767,ALEXANDRIA,VA,22314,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50,04/10/2020,Truist Bank d/b/a Branch Banking & Trust Co,VA-08
"e $150,000-350,000",5 STAR FLOORING INC,17510 BOTHELL WAY NE,BOTHELL,WA,98011,442210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,05/03/2020,"U.S. Bank, National Association",WA-01
"e $150,000-350,000","5 STAR FORESTRY, LLC",221 ETHER ST PO BOX 223,KOOSKIA,ID,83539,561730,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,35,04/13/2020,Freedom Northwest CU,ID-01
"d $350,000-1 million","5 STAR GRAND CANYON HELICOPTER TOURS, LLC",1421 AIRPORT RD SUITE 110,BOULDER CITY,NV,89005,481111,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,45,04/07/2020,Umpqua Bank,NV-03
"e $150,000-350,000","5 STAR HEATING & COOLING, INC.",500 US HIGHWAY 319,TIFTON,GA,31794,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/07/2020,Ameris Bank,GA-08
"e $150,000-350,000",5 STAR HEATING AND AIR LLC,510 9TH AVE S,SAUK RAPIDS,MN,56379,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/05/2020,West Bank,MN-06
"e $150,000-350,000",5 STAR HOME SERVICES INC,2702 S Highland Dr,Las Vegas,NV,89109,238220,Corporation,Unanswered,Unanswered,Unanswered,,18,05/08/2020,"Zions Bank, A Division of",NV-01
"e $150,000-350,000",5 STAR HOSPITALITY LLC,713 US HWY One,North Palm Beach,FL,33408,424420,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,35,04/30/2020,Valley National Bank,FL-18
"e $150,000-350,000","5 STAR HOSPITALITY, LLC",1521 JAMES AVE,BEDFORD,IN,47421,722511,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,27,04/05/2020,Bedford Federal Savings Bank,IN-09
"d $350,000-1 million",5 STAR INDUSTRIES,701 5TH ST,GREELEY,CO,80631,332710,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,47,04/13/2020,Granite Community Bank,CO-04
"d $350,000-1 million",5 STAR INSTALLS LLC,14241 REDWOOD RD S,BLUFFDALE,UT,84065,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,61,05/03/2020,"U.S. Bank, National Association",UT-04
c $1-2 million,5 STAR NUTRITION LLC,8500 SHOAL CREEK BLVD BLDG 4 Suite 150,AUSTIN,TX,78757,446191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,189,04/05/2020,Vista Bank,TX-10
"e $150,000-350,000","5 STAR PARTS, INC.",991 84th Street SW,BYRON CENTER,MI,49315,423120,Corporation,Unanswered,Unanswered,Unanswered,,13,04/11/2020,TCF National Bank,MI-03
b $2-5 million,"5 STAR PIZZA, LLC",1617 Hwy 12 E,WILLMAR,MN,56201,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,04/09/2020,"Bremer Bank, National Association",MN-07
"d $350,000-1 million","5 STAR PIZZA, LLC",12 E MAIN STREET,PARK HILLS,MO,63601,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,121,04/15/2020,Pacific Western Bank,MO-08
"e $150,000-350,000",5 STAR PLUMBING INC.,9525 Hwy 151,ANAMOSA,IA,52205,238220,Corporation,White,Male Owned,Non-Veteran,,28,04/06/2020,Community Savings Bank,IA-01
"e $150,000-350,000",5 STAR RESIDENTIAL INC.,3116 BUNCH WALNUTS RD,CHESAPEAKE,VA,23322,531110,Corporation,Unanswered,Male Owned,Non-Veteran,,0,05/01/2020,Navy FCU,VA-04
"e $150,000-350,000",5 STAR SCHOOL BUS LLC,8014 PRESTON CT,BROOKLYN,NY,11236,485410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,05/01/2020,"JPMorgan Chase Bank, National Association",NY-08
"e $150,000-350,000",5 STAR SERVICE GROUP INC.,241 NW 197TH ST,MIAMI GARDENS,FL,33169,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,126,05/01/2020,"JPMorgan Chase Bank, National Association",FL-24
"e $150,000-350,000",5 STAR SERVICES FIRST LLC,2001 ASHBUTON AVE,BALTIMORE,MD,21216,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,05/12/2020,Cross River Bank,MD-07
"d $350,000-1 million","5 STAR SOLAR, LLC",28170 N ALMA SCHOOL PKWY STE 208,SCOTTSDALE,AZ,85262,237130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,41,04/15/2020,"JPMorgan Chase Bank, National Association",AZ-06
c $1-2 million,"5 STAR SOLIDS CONTROL SERVICES, LLC",3606 Princeton Ave.,Midland,TX,79703,211120,Corporation,White,Unanswered,Unanswered,,65,04/15/2020,West Texas National Bank,TX-11
"e $150,000-350,000","5 STAR STAFFING SOLUTIONS, LLC",27440 CASHFORD CIR,WESLEY CHAPEL,FL,33544,561320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,04/05/2020,ServisFirst Bank,FL-12
"e $150,000-350,000","5 STAR STAFFING, LLC",1343 E Justice Rd,Medford,OR,97502,561330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,63,04/10/2020,West Town Bank & Trust,OR-02
c $1-2 million,5 STAR STUCCO INC,1524 Pittman Avenue,SPARKS,NV,89431,238140,Corporation,Unanswered,Male Owned,Non-Veteran,,125,04/28/2020,Legacy Bank,NV-02
"e $150,000-350,000","5 STAR VENTURES, LLC",5654 COVENTRY LN,FORT WAYNE,IN,46804,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/07/2020,First Merchants Bank,IN-03
"e $150,000-350,000","5 STAR VIERA, INC.",3395 Viera Blvd,Melbourne,FL,32940,624410,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,0,04/10/2020,Live Oak Banking Company,FL-08
"e $150,000-350,000",5 STAR WALTS,1200 1st Street South,WILLMAR,MN,56201,811192,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,73,04/05/2020,"Heritage Bank, National Association",MN-07
"e $150,000-350,000",5 STARR METAL BUILDERS & CONSTRUCTION LLC,1425 W TEXAS AVE,WASKOM,TX,75692,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/14/2020,BancorpSouth Bank,TX-01
"e $150,000-350,000",5 STARR TRUSS COMPANY LLC,1415 W TEXAS AVE,WASKOM,TX,75692,423330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/14/2020,BancorpSouth Bank,TX-01
"d $350,000-1 million",5 STARS CARE INC,3263 Kirk Rd,Lake Worth,FL,33461,621111,Corporation,Unanswered,Unanswered,Unanswered,,,06/10/2020,Celtic Bank Corporation,FL-21
"d $350,000-1 million",5 STEMS INC,1331 UNION AVE,MEMPHIS,TN,38104,238210,Corporation,Unanswered,Unanswered,Unanswered,,39,04/04/2020,Evolve Bank & Trust,TN-09
"e $150,000-350,000","5 TALENTS, INC.",428 FAIRWAY ESTATES DR,BLOUNTVILLE,TN,37617,236118,Corporation,Unanswered,Unanswered,Unanswered,,17,04/08/2020,First Horizon Bank,TN-01
"d $350,000-1 million","5 TATE, INC. T TOP MANUFACTURING",278 GEORGE MITCHELL PARKWAY,BRIDGEPORT,TX,76426,332999,Corporation,Unanswered,Male Owned,Non-Veteran,,44,04/09/2020,"First Financial Bank, National Association",TX-13
"d $350,000-1 million","5 TERRACES, LLC",1 Broadway,OAKLAND,CA,4607,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,89,05/01/2020,"JPMorgan Chase Bank, National Association",ME-02
"e $150,000-350,000",5 TOP RESTAURANT GROUP LLC,1729 S Catalina Avenue,Redondo Beach,CA,90277,722511,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,45,04/29/2020,"Harvest Small Business Finance, LLC",CA-33
"e $150,000-350,000","5 TRADE, LLC",5,Plattsburgh,NY,12901,327211,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,15,04/13/2020,Northern CU,NY-21
"e $150,000-350,000","5 WAY CHILI, LLC",27900 STATE ROUTE 1,WEST HARRISON,IN,47060,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,30,04/16/2020,"FCN Bank, National Association",IN-06
"e $150,000-350,000",5 WEST 21ST LLC,5 W 21ST ST GRND FLR,NEW YORK,NY,10010,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,31,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",5 WEST GROUP LLC,1105 E COUNTY LINE RD,LAKEWOOD,NJ,8701,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/28/2020,Cross River Bank,NJ-04
"e $150,000-350,000",5 WEST HUBBARD CORP.,5 W Hubbard Street,CHICAGO,IL,60654,722511,Corporation,Unanswered,Unanswered,Unanswered,,30,04/15/2020,"Northbrook Bank & Trust Company, National Association",IL-07
"e $150,000-350,000",5 WEST INC.,4324 Highway 281,BELCOURT,ND,58316,445110,Corporation,White,Male Owned,Non-Veteran,,55,04/13/2020,Dacotah Bank,ND-00
"e $150,000-350,000",5-D CORPORATION DBA NORTHERN COMFORT,2800 N Lagoon Drive,Wasilla,AK,99654,623990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,23,05/04/2020,WebBank,AK-00
"e $150,000-350,000",5-D HOLDING COMPANY I,126 W. STATE ST P.O Box 678,MANCELONA,MI,49659,447110,Corporation,Unanswered,Unanswered,Unanswered,,46,04/07/2020,Citizens National Bank of Cheboygan,MI-01
"e $150,000-350,000",5-D OPERATIONS INC,1800 FM 237,YORKTOWN,TX,78164,211120,Corporation,Unanswered,Unanswered,Unanswered,,17,04/15/2020,Prosperity Bank,TX-15
"d $350,000-1 million","5-D SYSTEMS, INC.",1 CHISHOLM TRAIL RD,ROUND ROCK,TX,78681,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,04/27/2020,Frost Bank,TX-31
"e $150,000-350,000",5-ELEVEN HOOPS,7906 East Tarma Street,Long Beach,CA,90808,611620,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,06/15/2020,Fountainhead SBF LLC,CA-47
b $2-5 million,5-F MECHANICAL GROUP INC,PO Box 81305,AUSTIN,TX,78708,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/08/2020,Frontier Bank of Texas,TX-10
"e $150,000-350,000","5-LOCK GIN & WAREHOUSE, LLC",905 WEST COOK RD,DOTHAN,AL,36301,115111,Partnership,Unanswered,Unanswered,Unanswered,,59,04/06/2020,HNB First Bank,AL-02
"d $350,000-1 million",5-STAR BUILDING SOLUTIONS LLC,2774 Cobb Pkwy NW Ste 109-166,KENNESAW,GA,30152,238130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/10/2020,Renasant Bank,GA-11
"e $150,000-350,000",5-STAR DETAIL & WASH INC,5440 WILLIAMS RD.,FAIRFIELD,CA,94534,811192,Corporation,Unanswered,Male Owned,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",CA-03
"e $150,000-350,000","5-STAR TREATS, INC.",1612 S. JEFFERSON AVE,MOUNT PLEASANT,TX,75455,722511,Corporation,Unanswered,Unanswered,Unanswered,,112,04/09/2020,"Guaranty Bank & Trust, National Association",TX-04
"e $150,000-350,000","5-T UTILITIES, INC.",PO Box 1318,Huntsville,TX,77342,237110,Corporation,Unanswered,Male Owned,Unanswered,,36,04/14/2020,First National Bank of Huntsville,TX-08
"e $150,000-350,000","50 COINS PIZZA, LLC",11 WEBSTER RD,RIDGEFIELD,CT,6877,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/16/2020,Union Savings Bank,CT-04
"e $150,000-350,000",50 EGGS INC,7350 Biscayne Blvd,MIAMI,FL,33138,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/05/2020,City National Bank of Florida,FL-24
c $1-2 million,50 FERNCROFT (BOSTON) ESONG LLC,350 S GRAND AVE,LOS ANGELES,CA,90071,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,208,04/30/2020,CTBC Bank Corp. (USA).,CA-34
"e $150,000-350,000",50 FREINDS FUND CAPITAL LLC,8764 COBBLESTONE POINT CIR,BOYNTON BEACH,FL,33472,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,07/28/2020,"Wells Fargo Bank, National Association",FL-21
"d $350,000-1 million","50 KINGSMILL, LLC",50 Kingsmill Rd,WILLIAMSBURG,VA,23185,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/11/2020,Citizens and Farmers Bank,VA-01
"e $150,000-350,000",50 NORTH,339 East MELROSE AVE,FINDLAY,OH,45840,813319,Non-Profit Organization,White,Female Owned,Non-Veteran,Y,51,04/06/2020,The Old Fort Banking Company,OH-05
"e $150,000-350,000","50 PLUS 1 STRATEGIES, LLC",1 KAISER PLZ STE 650,OAKLAND,CA,94612,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/03/2020,"Bank of America, National Association",CA-13
"d $350,000-1 million","50 STATES ENGINEERING, CORP.",43 MOONACHIE RD,HACKENSACK,NJ,7601,541330,Corporation,White,Female Owned,Non-Veteran,,30,05/27/2020,"BSD Capital, LLC dba Lendistry",NJ-05
"e $150,000-350,000",50 US COACH INC,4 Read Ave,quincy,MA,2169,485510,Limited  Liability Company(LLC),Asian,Unanswered,Unanswered,,32,04/29/2020,"Harvest Small Business Finance, LLC",MA-08
a $5-10 million,50 X 20 HOLDING COMPANY,2715 Wise Ave NW,CANTON,OH,44708,236115,Corporation,White,Male Owned,Non-Veteran,,250,04/10/2020,The Huntington National Bank,OH-16
"e $150,000-350,000","50-01 2ND STREET ASSOCIATES, LLC","675 Third Avenue, 6th Floor",New York,NY,10017,531390,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,06/03/2020,Hanover Community Bank,NY-12
"e $150,000-350,000",50-18 MEAT CORP,50 - 18 SKILLMAN AVENUE,WOODSIDE,NY,11377,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,53,05/29/2020,Trenton Business Assistance Corporation,NY-14
"d $350,000-1 million","50-50 BACKHOE SERVICES, LLC",PO BOX,ARTESIA,NM,88211,213112,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,42,04/06/2020,"Western Bank, Artesia, New Mexico",NM-02
"d $350,000-1 million","500 AUTOMOTIVE GROUP, LLC",1700 E State Road 163,CLINTON,IN,47842,441110,Corporation,Unanswered,Unanswered,Unanswered,,48,04/07/2020,"First Financial Bank, National Association",IN-08
"d $350,000-1 million",500 ENTERPRISES INC,500 Worcester Rd 0.0,Framingham,MA,1702,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,45,04/10/2020,"JPMorgan Chase Bank, National Association",MA-05
"d $350,000-1 million",500 FOODS LLC,818 E. Arrowood Rd,CHARLOTTE,NC,28217,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,92,04/06/2020,First National Bank of Pennsylvania,NC-12
"e $150,000-350,000",500 GRAND CORP,500 Grand Street,Hoboken,NJ,7030,722511,Corporation,Unanswered,Unanswered,Unanswered,,19,04/29/2020,Northeast Bank,NJ-08
"d $350,000-1 million","500 WEST THAMES STREET, INC.",500 WEST THAMES ST,NORWICH,CT,6360,441110,Corporation,Unanswered,Unanswered,Unanswered,,52,04/11/2020,Chelsea Groton Bank,CT-02
"d $350,000-1 million",50000FEET INC,1700 W IRVING PARK RD,CHICAGO,IL,60613,541810,Corporation,Unanswered,Unanswered,Unanswered,,26,04/27/2020,"PNC Bank, National Association",IL-05
"d $350,000-1 million",500BELOW CARS LLC,3137 RILEY FUZZEL RD,SPRING,TX,77386,441120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,43,04/07/2020,"First Financial Bank, National Association",TX-08
"d $350,000-1 million",501 COMMONS,1200 12th Ave S Ste 1101,Seattle,WA,98144,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,53,04/13/2020,Beneficial State Bank,WA-09
"d $350,000-1 million",501 JERSEY AVE PROPERTY LLC,501 Jersey Avenue,New Brunswick,NJ,8901,531210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,,05/06/2020,Celtic Bank Corporation,NJ-06
"e $150,000-350,000","501 PRIME, LLC",215 E GRAND AVE,HOT SPRINGS NATIONAL PARK,AR,71901,722511,Partnership,Unanswered,Unanswered,Unanswered,,57,04/07/2020,Arvest Bank,AR-04
"e $150,000-350,000",501 SALON AND SPA LLC,501 FAIRFIELD AVE,BELLEVUE,KY,41073,812112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,33,04/28/2020,"PNC Bank, National Association",KY-04
"e $150,000-350,000","501 UNION, INC.",2628 Phillips Drive,JONESBORO,AR,72401,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,35,04/11/2020,First Community Bank,AR-01
"e $150,000-350,000","501-A BOURBON, LLC",311 DECATUR ST,NEW ORLEANS,LA,70130,722410,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,44,04/27/2020,Hancock Whitney Bank,LA-02
"e $150,000-350,000","501-B BOURBON, LLC",311 DECATUR ST,NEW ORLEANS,LA,70130,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,60,04/27/2020,Hancock Whitney Bank,LA-02
"e $150,000-350,000",501K RECYCLING LLC,565 BEAVER CREEK RD,HUNTINGDON,TN,38344,562920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,05/03/2020,"Bank of America, National Association",TN-08
"d $350,000-1 million","501ST TRANSPORT, INC.",3604 state route 69,taberg,NY,13471,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,06/08/2020,Fountainhead SBF LLC,NY-22
"e $150,000-350,000",504 CONSTRUCTION MANAGERS INC.,PMB BOX 302 RD 19,GUAYNABO,PR,966,236117,Corporation,Unanswered,Unanswered,Unanswered,,63,04/15/2020,Banco Popular de Puerto Rico,PR-00
"d $350,000-1 million",5040 PHILADELPHIA DRIVE OPERATING COMPANY INC,5020 PHILADELPHIA DR,Dayton,OH,45415,623110,Corporation,Unanswered,Male Owned,Unanswered,,55,05/08/2020,The Huntington National Bank,OH-10
"e $150,000-350,000",5040 SANDERLIN PARTNERS,5040 SANDERLIN AVE,MEMPHIS,TN,38117,722511,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,45,04/04/2020,Guaranty Bank & Trust Company,TN-09
"d $350,000-1 million","505 BS, LLC",505 Bellevue Square,Bellevue,WA,98004,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0,04/28/2020,"Washington Federal Bank, National Association",WA-01
"e $150,000-350,000",505 CLUBHOUSE ROAD OPERATING COMPANY LLC,505 CLUBHOUSE RD,VESTAL,NY,13850,623312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,04/27/2020,"People's United Bank, National Association",NY-22
"e $150,000-350,000",505 DENTAL ASSOCIATES PLLC,"401 EAST 88TH ST, APT 5D",NEW YORK,NY,10128,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/28/2020,"Fund-Ex Solutions Group, LLC",NY-12
"d $350,000-1 million","505 DESIGN, INC","1360 Walnut St, Ste 102",BOULDER,CO,80302,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,04/16/2020,"Zions Bank, A Division of",CO-02
"d $350,000-1 million",505 HP LLC,505 8th avenue,new york,NY,10018,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/27/2020,"Capital One, National Association",NY-12
"e $150,000-350,000",505 MAIN LLC,505 S MAIN ST #B1,BRECKENRIDGE,CO,80424,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,04/06/2020,FirstBank,CO-02
"d $350,000-1 million",505 NINTH STREET PARTNERS LLC,717 D St NW,WASHINGTON,DC,20004,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,04/06/2020,BBVA USA,DC-00
"e $150,000-350,000","505 ROCHESTER, INC.",505 ROCHESTER RD,PITTSBURGH,PA,15237,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,32,04/29/2020,"Standard Bank, PaSB",PA-17
"e $150,000-350,000","505DESIGN CHARLOTTE, INC",1360 Walnut Street,BOULDER,CO,80302,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/14/2020,"Zions Bank, A Division of",CO-02
"e $150,000-350,000","506 BOSTON POST, LLC",506 BOSTON POST RD,ORANGE,CT,6477,442110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,22,05/01/2020,"JPMorgan Chase Bank, National Association",CT-03
"e $150,000-350,000","5061 LOGISTICS, LLC",14080 NACOGDOCHES RD PMB 80,SAN ANTONIO,TX,78247,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,46,04/10/2020,Frost Bank,TX-21
"e $150,000-350,000","507 GAS AND MART, INC.",507 E18th St,Antioch,CA,94509,721199,Corporation,Unanswered,Unanswered,Unanswered,,3,06/10/2020,Cross River Bank,CA-09
"e $150,000-350,000","507 WILSHIRE PARTNERS, LP",630 22ND ST,SANTA MONICA,CA,90402,722511,Partnership,White,Unanswered,Unanswered,,35,04/08/2020,City National Bank,CA-33
"d $350,000-1 million",5071 INC.,6360 East 58th Avenue Suite C,COMMERCE CITY,CO,80022,446191,Corporation,Unanswered,Unanswered,Unanswered,,,04/09/2020,Independent Bank,CO-07
"e $150,000-350,000",508 INC,2200 Walker Avenue,GREENSBORO,NC,27403,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/10/2020,American National Bank and Trust Company,NC-13
"e $150,000-350,000",508 PROUD EAGLE LANE,508 Proud Eagle Lane,Las Vegas,NV,89144,236117,Corporation,Unanswered,Unanswered,Unanswered,,9,08/07/2020,Lexicon Bank,NV-03
"e $150,000-350,000",509 CONSTRUCTION,2635 S HALM AVE,LOS ANGELES,CA,90034,236220,Corporation,Unanswered,Unanswered,Unanswered,,35,04/15/2020,Pacific Enterprise Bank,CA-37
"e $150,000-350,000",509 EXCAVATING LLC,113 N Wright Ave,Cle Elum,WA,98922,237310,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,2,06/18/2020,Seattle Economic Development Fund dba Community Ca,WA-08
"d $350,000-1 million",509 EXPRESS INC,4800 Springs Lane,Norcross,GA,30092,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/29/2020,Celtic Bank Corporation,GA-07
c $1-2 million,"509 TIME, INC.",585 RAINIER AVE S,RENTON,WA,98057,441110,Corporation,Unanswered,Unanswered,Unanswered,,69,04/14/2020,HomeStreet Bank,WA-09
"e $150,000-350,000",509 TRANSPORT INC,3251 125TH Y AVE NW,WATFORD CITY,ND,58854,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,Cross River Bank,ND-00
"d $350,000-1 million",50CAN INC,1625 K STREET NW STE 400,WASHINGTON,DC,20006,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,05/03/2020,"Wells Fargo Bank, National Association",DC-00
c $1-2 million,50FLOOR INC,4701 GRANITE DRIVE,TUCKER,GA,30084,442210,Corporation,White,Male Owned,Unanswered,,121,04/07/2020,First Horizon Bank,GA-04
"e $150,000-350,000",50TH STATE POULTRY INC,29490 PO BOX,HONOLULU,HI,96820,424440,Corporation,Unanswered,Unanswered,Unanswered,,33,04/06/2020,Central Pacific Bank,HI-01
"e $150,000-350,000",51 CHIPPEWA LLC,51 W Chippewa St,Buffalo,NY,14202,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,43,04/28/2020,Northwest Bank,NY-26
"d $350,000-1 million","51 EAST FOURTH STREET ASSOCIATES MASTER TENANT, LP",1608 WALNUT ST Suite 1400,PHILADELPHIA,PA,19103,531110,Partnership,Unanswered,Unanswered,Unanswered,,112,04/14/2020,Firstrust Savings Bank,PA-03
"d $350,000-1 million",51 LIBERTY DRIVE LLC,50 Liberty Dr Ste 400,Boston,MA,2210,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,66,04/16/2020,First Republic Bank,MA-08
"e $150,000-350,000","51 NORTH TAPROOM, LLC",2318 12TH AVE S,NASHVILLE,TN,37204,722410,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,36,04/09/2020,Synovus Bank,TN-05
"e $150,000-350,000","51 OAKWOOD, INC.","4347 Portage Street NW, Suite 102",NORTH CANTON,OH,44720,541219,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,34,04/09/2020,First United Bank & Trust,OH-16
"d $350,000-1 million","51 OILFIELD SERVICES, LLC",577 COUNTY ROAD 930,TEAGUE,TX,75860,213112,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,55,04/03/2020,The Pecos County State Bank,TX-17
"e $150,000-350,000",51 SANDALWOOD ENTERPRISES INC,23 SOUTH HOWELL AVE SUITE M,CENTEREACH,NY,11720,446199,Corporation,Unanswered,Unanswered,Unanswered,,13,04/10/2020,"People's United Bank, National Association",NY-01
"e $150,000-350,000","51 SITE SERVICES, INC.",136 N ORCHARD ST STE 4,ORMOND BEACH,FL,32174,238190,Subchapter S Corporation,White,Female Owned,Non-Veteran,,0,04/16/2020,Seacoast National Bank,FL-06
"e $150,000-350,000",51 VAPE LATHAM LLC,805 route 146,CLIFTON PARK,NY,12065,812113,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/11/2020,KeyBank National Association,NY-20
"e $150,000-350,000",510  GROVELAND LLC,510 GROVELAND AVE,MINNEAPOLIS,MN,55403,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/05/2020,Choice Financial Group,MN-05
"e $150,000-350,000",510 2ND AVENUE LLC,225 Cherry Street 18E,NEW YORK,NY,10002,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"e $150,000-350,000",510 DELAWARE AVENUE CORP,510 Delaware Ave,BUFFALO,NY,14202,561720,Corporation,Unanswered,Male Owned,Unanswered,,41,04/09/2020,CNB Bank,NY-26
c $1-2 million,510 W42 HOTEL OPERATING LLC,9911 S. 78TH Avenue,ORLAND PARK,IL,60467,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,117,04/27/2020,Tioga-Franklin Savings Bank,IL-01
"e $150,000-350,000",5100 N STATE ROAD 7 FLL INC,5100 N State Road 7,Ft Lauderdale,FL,33319,999990,Corporation,Unanswered,Male Owned,Unanswered,,57,05/07/2020,Valley National Bank,FL-20
"e $150,000-350,000",5101 HOSPITALITY LLC.,5101 N. CLARK ST,CHICAGO,IL,60640,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/27/2020,Lakeside Bank,IL-09
